protein_id	gene_symbol	mol_weight_kd	mol_weight
MMP20	Mmp20	54.37245570000007	54372.455700000064	normal
PCMT1	Pcmt1	30.440690799999985	30440.690799999986	normal
PCMT1	Pcmt1	30.397713999999983	30397.71399999998	normal
GM20826	Gm20826	25.816118500000023	25816.118500000022	normal
GM20826	Gm20826	25.816118500000023	25816.118500000022	normal
SYP	Syp	34.02421439999999	34024.21439999999	normal
PRICKLE3	Prickle3	69.72650970000026	69726.50970000026	normal
PRICKLE3	Prickle3	61.904589700000244	61904.589700000244	normal
NUP43	Nup43	41.98914300000011	41989.14300000011	normal
PLP2	Plp2	16.607380299999978	16607.38029999998	normal
VMN2R34	Vmn2r34	97.67778000000062	97677.78000000062	normal
SLC22A19	Slc22a19	60.86330100000007	60863.30100000007	normal
MAGIX	Magix	34.77087880000003	34770.87880000003	normal
ASNS	Asns	64.28194590000021	64281.94590000021	normal
ASNS	Asns	64.28194590000021	64281.94590000021	normal
LATS1	Lats1	126.25646050000049	126256.46050000048	normal
LATS1	Lats1	126.25646050000049	126256.46050000048	normal
LATS1	Lats1	126.25646050000049	126256.46050000048	normal
MMP7	Mmp7	30.027956099999987	30027.956099999985	normal
GPKOW	Gpkow	53.83102140000007	53831.02140000007	normal
WDR45	Wdr45	39.78699470000006	39786.99470000006	normal
WDR45	Wdr45	36.153944100000054	36153.94410000005	normal
WDR45	Wdr45	31.304265900000022	31304.26590000002	normal
GM45208	Gm45208	31.72169900000002	31721.69900000002	normal
WDR45	Wdr45	39.78699470000006	39786.99470000006	normal
WDR45	Wdr45	38.29039530000006	38290.395300000055	normal
WDR45	Wdr45	31.76577720000003	31765.77720000003	normal
WDR45	Wdr45	39.78699470000006	39786.99470000006	normal
GM28576	Gm28576	25.533474500000025	25533.474500000026	normal
KATNA1	Katna1	55.98244810000014	55982.44810000014	normal
KATNA1	Katna1	56.21474800000013	56214.74800000013	normal
PRAF2	Praf2	19.477897000000002	19477.897	normal
CCDC120	Ccdc120	67.40658650000029	67406.58650000028	normal
FNDC1	Fndc1	189.0888934999988	189088.89349999878	normal
FNDC1	Fndc1	199.81025009999877	199810.25009999878	normal
TFE3	Tfe3	61.47530690000013	61475.30690000013	normal
TFE3	Tfe3	57.73623520000009	57736.23520000009	normal
TFE3	Tfe3	50.508177600000124	50508.17760000013	normal
TFE3	Tfe3	50.508177600000124	50508.17760000013	normal
TFE3	Tfe3	50.508177600000124	50508.17760000013	normal
TFE3	Tfe3	50.508177600000124	50508.17760000013	normal
TMEM123	Tmem123	20.177856499999987	20177.856499999987	normal
TFE3	Tfe3	46.769105900000156	46769.105900000155	normal
GINM1	Ginm1	36.078417600000016	36078.417600000015	normal
GINM1	Ginm1	36.177548600000016	36177.54860000002	normal
SLC22A26	Slc22a26	61.20148080000007	61201.48080000007	normal
SLC22A26	Slc22a26	61.359698800000075	61359.69880000008	normal
VMN2R35	Vmn2r35	98.91024690000066	98910.24690000065	normal
GRIPAP1	Gripap1	92.71401030000051	92714.0103000005	normal
GRIPAP1	Gripap1	95.91241790000052	95912.41790000052	normal
GRIPAP1	Gripap1	90.76363990000053	90763.63990000053	normal
PPIL4	Ppil4	57.22951760000008	57229.51760000008	normal
GDNF	Gdnf	26.606145000000023	26606.145000000022	normal
FLNB	Flnb	277.8212876000003	277821.2876000003	normal
BIRC2	Birc2	69.67568380000031	69675.68380000032	normal
BIRC2	Birc2	69.67568380000031	69675.68380000032	normal
KCND1	Kcnd1	71.69696850000042	71696.96850000042	normal
ZC3H12D	Zc3h12d	59.10109250000023	59101.092500000224	normal
OTUD5	Otud5	60.305695100000165	60305.695100000165	normal
OTUD5	Otud5	60.37677300000017	60376.77300000017	normal
OTUD5	Otud5	60.74918960000018	60749.18960000018	normal
OTUD5	Otud5	56.54748110000018	56547.48110000018	normal
OTUD5	Otud5	55.92279140000017	55922.79140000017	normal
C1GALT1	C1galt1	42.30364789999995	42303.64789999995	normal
BIRC3	Birc3	67.4730000000003	67473.00000000029	normal
BIRC3	Birc3	42.136911900000065	42136.911900000065	normal
SLC22A27	Slc22a27	49.83979940000007	49839.79940000007	normal
SLC22A27	Slc22a27	62.04451400000015	62044.51400000015	normal
WAC	Wac	53.88016150000019	53880.16150000019	normal
WAC	Wac	65.45384800000029	65453.8480000003	normal
WAC	Wac	53.95123940000019	53951.23940000019	normal
WAC	Wac	70.67958580000034	70679.58580000034	normal
WAC	Wac	59.490369700000215	59490.369700000214	normal
WAC	Wac	65.0533782000003	65053.3782000003	normal
WDR70	Wdr70	73.05999410000027	73059.99410000027	normal
VMN2R36	Vmn2r36	97.81979650000065	97819.79650000065	normal
SLC35A2	Slc35a2	40.76528620000002	40765.28620000002	normal
SLC35A2	Slc35a2	41.065640300000005	41065.64030000001	normal
SLC35A2	Slc35a2	25.274893499999983	25274.893499999984	normal
SLC35A2	Slc35a2	11.57045479999999	11570.45479999999	normal
SLC35A2	Slc35a2	33.952108200000005	33952.1082	normal
PQBP1	Pqbp1	30.597087600000027	30597.087600000028	normal
PQBP1	Pqbp1	30.597087600000027	30597.087600000028	normal
PQBP1	Pqbp1	30.597087600000027	30597.087600000028	normal
TIMM17B	Timm17b	18.35189629999998	18351.89629999998	normal
TAB2	Tab2	76.44131870000034	76441.31870000034	normal
PCSK1N	Pcsk1n	27.269874199999983	27269.874199999984	normal
ERAS	Eras	24.32023130000001	24320.23130000001	normal
TAGAP	Tagap	78.91920720000049	78919.20720000048	normal
HDAC6	Hdac6	125.78545260000081	125785.4526000008	normal
HDAC6	Hdac6	125.78545260000081	125785.4526000008	normal
YAP1	Yap1	50.702816800000114	50702.81680000012	normal
YAP1	Yap1	52.38271520000011	52382.715200000115	normal
RSPH3A	Rsph3a	58.68583810000007	58685.838100000066	normal
RSPH3A	Rsph3a	58.784969100000076	58784.969100000075	normal
GM45521	Gm45521	22.831810300000004	22831.810300000005	normal
GATA1	Gata1	42.67351680000006	42673.516800000056	normal
STEAP4	Steap4	52.993435299999966	52993.43529999997	normal
DNASE1L3	Dnase1l3	35.75949020000005	35759.49020000005	normal
APOB	Apob	509.4257232000049	509425.7232000049	normal
GM29049	Gm29049	25.89534610000002	25895.34610000002	normal
COL28A1	Col28a1	118.74771000000074	118747.71000000073	normal
ABHD6	Abhd6	38.204071500000026	38204.07150000003	normal
ABHD6	Abhd6	32.787622900000024	32787.622900000024	normal
ABHD6	Abhd6	38.204071500000026	38204.07150000003	normal
GLOD5	Glod5	16.594928299999992	16594.928299999992	normal
CFAP300	Cfap300	30.901100700000036	30901.100700000035	normal
CFAP300	Cfap300	11.393829999999992	11393.829999999993	normal
SRI	Sri	20.295641199999995	20295.641199999995	normal
SRI	Sri	21.627031400000003	21627.031400000003	normal
SUV39H1	Suv39h1	47.75386650000004	47753.86650000004	normal
SUV39H1	Suv39h1	47.76686200000004	47766.86200000004	normal
SLC22A28	Slc22a28	62.10843330000016	62108.43330000016	normal
SUV39H1	Suv39h1	33.110736199999984	33110.736199999985	normal
GM20825	Gm20825	25.76417480000002	25764.17480000002	normal
GM20825	Gm20825	25.76417480000002	25764.17480000002	normal
ADAM22	Adam22	99.71391940000086	99713.91940000086	normal
ADAM22	Adam22	99.5579137000008	99557.91370000079	normal
ADAM22	Adam22	95.92591110000077	95925.91110000077	normal
ADAM22	Adam22	98.85399580000082	98853.99580000082	normal
ADAM22	Adam22	102.12768440000093	102127.68440000093	normal
CEP126	Cep126	123.68345770000089	123683.45770000089	normal
RPP14	Rpp14	13.564666899999985	13564.666899999984	normal
WAS	Was	54.1911244	54191.1244	normal
RPP14	Rpp14	17.385107899999994	17385.107899999995	normal
WDR70	Wdr70	9.591642799999994	9591.642799999994	normal
ADAM22	Adam22	94.73940000000076	94739.40000000075	normal
PXK	Pxk	65.15938720000017	65159.38720000017	normal
PXK	Pxk	58.515823400000095	58515.823400000096	normal
PXK	Pxk	65.23046510000019	65230.46510000018	normal
NUP155	Nup155	155.11615990000055	155116.15990000055	normal
NUP155	Nup155	150.13541480000055	150135.41480000055	normal
RNASET2A	Rnaset2a	29.60846410000001	29608.46410000001	normal
WDR13	Wdr13	53.66341280000012	53663.412800000115	normal
WDR13	Wdr13	43.00439060000011	43004.39060000011	normal
WDR13	Wdr13	53.66341280000012	53663.412800000115	normal
RNASET2A	Rnaset2a	29.60846410000001	29608.46410000001	normal
VMN2R41	Vmn2r41	97.76992320000063	97769.92320000063	normal
RBM3	Rbm3	16.760678699999985	16760.678699999986	normal
RBM3	Rbm3	16.604492999999984	16604.492999999984	normal
RBM3	Rbm3	16.604492999999984	16604.492999999984	normal
RBM3	Rbm3	16.604492999999984	16604.492999999984	normal
RBM3	Rbm3	16.760678699999985	16760.678699999986	normal
RBM3	Rbm3	16.760678699999985	16760.678699999986	normal
CAR8	Car8	33.080866800000045	33080.86680000005	normal
ADAM22	Adam22	38.299429700000054	38299.42970000005	normal
TBC1D25	Tbc1d25	76.43578410000042	76435.78410000041	normal
TBC1D25	Tbc1d25	82.57368410000043	82573.68410000044	normal
TBC1D25	Tbc1d25	80.25580790000043	80255.80790000044	normal
TBC1D25	Tbc1d25	62.47825490000023	62478.25490000023	normal
SLC22A29	Slc22a29	61.949462400000115	61949.46240000011	normal
FGFR1OP	Fgfr1op	42.75782390000006	42757.82390000006	normal
FGFR1OP	Fgfr1op	40.54823070000006	40548.23070000006	normal
PDHB	Pdhb	38.936661500000014	38936.66150000002	normal
CPLANE1	Cplane1	358.5456567000025	358545.6567000025	normal
VMN2R42	Vmn2r42	97.3674300000006	97367.43000000059	normal
VMN2R42	Vmn2r42	91.76505420000052	91765.05420000052	normal
VMN2R42	Vmn2r42	65.47260400000019	65472.60400000019	normal
EBP	Ebp	26.21451190000002	26214.51190000002	normal
PORCN	Porcn	51.96251790000009	51962.517900000086	normal
PORCN	Porcn	51.75328930000008	51753.28930000008	normal
PORCN	Porcn	52.507185800000094	52507.185800000094	normal
PORCN	Porcn	51.20862140000007	51208.62140000007	normal
ADARB2	Adarb2	82.1861130000004	82186.1130000004	normal
ADARB2	Adarb2	77.35866050000031	77358.66050000032	normal
UST	Ust	47.729420600000005	47729.420600000005	normal
LDAH	Ldah	37.35747110000001	37357.47110000001	normal
LDAH	Ldah	30.85004110000003	30850.04110000003	normal
LDAH	Ldah	26.779396300000027	26779.396300000026	normal
MIOS	Mios	98.33402110000067	98334.02110000067	normal
KCTD6	Kctd6	27.624024100000046	27624.024100000046	normal
KCTD6	Kctd6	27.624024100000046	27624.024100000046	normal
ACOX2	Acox2	76.86186560000037	76861.86560000037	normal
ACOX2	Acox2	76.86186560000037	76861.86560000037	normal
CCR6	Ccr6	42.10226370000005	42102.263700000054	normal
FTSJ1	Ftsj1	35.58521679999999	35585.21679999999	normal
FTSJ1	Ftsj1	33.8314005	33831.4005	normal
FTSJ1	Ftsj1	35.36902549999999	35369.02549999999	normal
CCR6	Ccr6	42.10226370000005	42102.263700000054	normal
CCR6	Ccr6	42.10226370000005	42102.263700000054	normal
CCR6	Ccr6	42.10226370000005	42102.263700000054	normal
CCR6	Ccr6	42.10226370000005	42102.263700000054	normal
CCR6	Ccr6	42.10226370000005	42102.263700000054	normal
VMN2R43	Vmn2r43	96.76385040000059	96763.85040000059	normal
CCR6	Ccr6	42.10226370000005	42102.263700000054	normal
RPA3	Rpa3	13.583617699999984	13583.617699999984	normal
GM20824	Gm20824	25.57653900000003	25576.53900000003	normal
UMAD1	Umad1	16.694390499999987	16694.390499999987	normal
UMAD1	Umad1	6.851537700000001	6851.537700000001	normal
UMAD1	Umad1	17.239663899999993	17239.663899999992	normal
UMAD1	Umad1	14.378637299999983	14378.637299999984	normal
UMAD1	Umad1	14.378637299999983	14378.637299999984	normal
SLC38A5	Slc38a5	51.883311300000095	51883.311300000096	normal
SLC38A5	Slc38a5	52.61622320000011	52616.22320000011	normal
SLC38A5	Slc38a5	51.883311300000095	51883.311300000096	normal
MPC1	Mpc1	12.454473999999987	12454.473999999987	normal
MPC1	Mpc1	12.454473999999987	12454.473999999987	normal
MPC1	Mpc1	9.738395299999995	9738.395299999995	normal
MPC1	Mpc1	18.360167299999993	18360.167299999994	normal
NIPBL	Nipbl	315.44671330000165	315446.71330000163	normal
FAM107A	Fam107a	17.5099254	17509.9254	normal
FAM107A	Fam107a	17.5099254	17509.9254	normal
MPC1	Mpc1	9.894580999999995	9894.580999999995	normal
FAM107A	Fam107a	20.440265700000005	20440.265700000004	normal
GDF7	Gdf7	47.10559250000004	47105.59250000004	normal
GDF7	Gdf7	47.89036070000004	47890.36070000004	normal
SFT2D1	Sft2d1	17.92241499999999	17922.41499999999	normal
HS1BP3	Hs1bp3	43.69076360000005	43690.76360000005	normal
SSXB10	Ssxb10	19.695662600000002	19695.662600000003	normal
SLC22A30	Slc22a30	62.13961820000015	62139.61820000015	normal
SLC22A30	Slc22a30	54.57945080000011	54579.45080000011	normal
PRR18	Prr18	32.21368940000003	32213.689400000025	normal
PRR18	Prr18	32.21368940000003	32213.689400000025	normal
SLC22A30	Slc22a30	49.61913050000005	49619.13050000005	normal
OIT1	Oit1	24.987790100000012	24987.790100000013	normal
T2	T2	33.854863900000026	33854.863900000026	normal
SNTG1	Sntg1	57.91268450000016	57912.68450000016	normal
SNTG1	Sntg1	57.91268450000016	57912.68450000016	normal
SNTG1	Sntg1	57.983762400000145	57983.762400000145	normal
SNTG1	Sntg1	57.983762400000145	57983.762400000145	normal
VMN2R44	Vmn2r44	98.71105440000063	98711.05440000063	normal
SSXB9	Ssxb9	21.59981390000002	21599.81390000002	normal
T2	T2	44.862032400000096	44862.0324000001	normal
DBF4	Dbf4	74.17297890000036	74172.97890000037	normal
DBF4	Dbf4	74.17494840000036	74174.94840000036	normal
DBF4	Dbf4	40.21002200000003	40210.02200000003	normal
TMEM114	Tmem114	24.387267300000016	24387.267300000014	normal
SSXB1	Ssxb1	19.63571640000001	19635.716400000012	normal
SLC25A40	Slc25a40	37.96308830000004	37963.08830000004	normal
SLC25A40	Slc25a40	37.96308830000004	37963.08830000004	normal
4930452B06RIK	4930452B06Rik	75.13012160000031	75130.1216000003	normal
TNS3	Tns3	168.1116358000004	168111.63580000043	normal
TNS3	Tns3	171.8115987000004	171811.59870000038	normal
TNS3	Tns3	155.5872161000006	155587.2161000006	normal
T	T	47.43950270000015	47439.50270000015	normal
SSXB2	Ssxb2	15.289834599999995	15289.834599999995	normal
SSXB2	Ssxb2	19.583693000000014	19583.693000000014	normal
VMN2R45	Vmn2r45	97.68180820000065	97681.80820000064	normal
METTL22	Mettl22	43.58557270000008	43585.57270000008	normal
RUNDC3B	Rundc3b	45.13709430000006	45137.094300000055	normal
RUNDC3B	Rundc3b	50.83846430000005	50838.46430000005	normal
RHOB	Rhob	22.123150000000006	22123.150000000005	normal
STMN2	Stmn2	20.827824700000015	20827.824700000016	normal
GLCCI1	Glcci1	57.54950610000015	57549.50610000015	normal
ABAT	Abat	56.45121750000006	56451.217500000064	normal
ABAT	Abat	22.7269981	22726.9981	normal
ABAT	Abat	50.23628340000002	50236.28340000002	normal
GM14459	Gm14459	20.88513870000001	20885.13870000001	normal
GLCCI1	Glcci1	38.492474900000076	38492.474900000074	normal
GLCCI1	Glcci1	38.36434570000009	38364.345700000085	normal
PDE10A	Pde10a	81.21870540000036	81218.70540000036	normal
PDE10A	Pde10a	95.71465870000054	95714.65870000054	normal
SLC7A15	Slc7a15	25.41906410000003	25419.06410000003	normal
SLC7A15	Slc7a15	53.09921330000005	53099.213300000054	normal
SLC7A15	Slc7a15	25.41906410000003	25419.06410000003	normal
RAB2A	Rab2a	23.547249299999997	23547.249299999996	normal
GLCCI1	Glcci1	26.261884	26261.884	normal
SSXB6	Ssxb6	19.705743400000003	19705.743400000003	normal
TRPC6	Trpc6	106.67950760000083	106679.50760000083	normal
TRPC6	Trpc6	45.905546200000046	45905.54620000005	normal
TRPC6	Trpc6	97.65412070000068	97654.12070000067	normal
GM17087	Gm17087	17.59629719999999	17596.29719999999	normal
SSXB3	Ssxb3	19.82990560000001	19829.90560000001	normal
SSXB3	Ssxb3	19.82990560000001	19829.90560000001	normal
SLC22A8	Slc22a8	59.24559910000006	59245.59910000006	normal
SLC22A8	Slc22a8	59.24559910000006	59245.59910000006	normal
EFNB2	Efnb2	37.20205580000001	37202.05580000001	normal
SLC22A6	Slc22a6	60.012827600000065	60012.82760000006	normal
ICA1	Ica1	52.93034060000016	52930.340600000156	normal
ICA1	Ica1	54.32383550000014	54323.83550000015	normal
ICA1	Ica1	54.32383550000014	54323.83550000015	normal
TMEM186	Tmem186	24.63139600000001	24631.396000000008	normal
SLC1A3	Slc1a3	59.621758300000074	59621.758300000074	normal
PMM2	Pmm2	27.65629970000001	27656.29970000001	normal
PMM2	Pmm2	27.65629970000001	27656.29970000001	normal
CARHSP1	Carhsp1	16.0620829	16062.082900000001	normal
ICA1	Ica1	36.00391740000007	36003.91740000007	normal
ABCB1A	Abcb1a	140.64480660000063	140644.80660000062	normal
HEY1	Hey1	32.105804000000035	32105.804000000033	normal
CHRM1	Chrm1	51.3783221	51378.3221	normal
CHRM1	Chrm1	51.3783221	51378.3221	normal
ARGLU1	Arglu1	32.886609700000044	32886.609700000045	normal
PUM2	Pum2	114.10023400000095	114100.23400000096	normal
PUM2	Pum2	106.09957350000083	106099.57350000083	normal
PUM2	Pum2	105.63806220000083	105638.06220000083	normal
PUM2	Pum2	114.10023400000095	114100.23400000096	normal
PUM2	Pum2	114.31252260000095	114312.52260000094	normal
PUM2	Pum2	106.09957350000083	106099.57350000083	normal
PUM2	Pum2	114.31252260000095	114312.52260000094	normal
GM5767	Gm5767	8.781498499999994	8781.498499999994	normal
GM5767	Gm5767	8.005319199999995	8005.319199999995	normal
SSXB8	Ssxb8	19.66970280000001	19669.70280000001	normal
SSXB8	Ssxb8	19.66970280000001	19669.70280000001	normal
SLC1A3	Slc1a3	14.797607199999995	14797.607199999995	normal
USP7	Usp7	132.84590460000052	132845.90460000053	normal
USP7	Usp7	128.4727476000006	128472.7476000006	normal
CHD7	Chd7	334.056744500002	334056.744500002	normal
CHD7	Chd7	334.056744500002	334056.744500002	normal
SLC3A2	Slc3a2	62.23893580000027	62238.93580000027	normal
SLC3A2	Slc3a2	33.69266540000002	33692.66540000002	normal
SLC3A2	Slc3a2	58.335820000000155	58335.82000000015	normal
SASH1	Sash1	135.61966560000073	135619.66560000074	normal
WDR74	Wdr74	37.791277400000034	37791.277400000035	normal
WDR74	Wdr74	42.635750600000016	42635.750600000014	normal
1700092M07RIK	1700092M07Rik	10.079881999999996	10079.881999999996	normal
STX5A	Stx5a	39.71299690000006	39712.99690000006	normal
STX5A	Stx5a	29.37641130000001	29376.41130000001	normal
STX5A	Stx5a	49.08438750000013	49084.387500000135	normal
STX5A	Stx5a	39.71299690000006	39712.99690000006	normal
SSX9	Ssx9	20.034397100000007	20034.397100000006	normal
STX5A	Stx5a	6.683405599999999	6683.405599999998	normal
CHD7	Chd7	99.91726390000068	99917.26390000067	normal
NXF1	Nxf1	70.29870810000017	70298.70810000016	normal
NXF1	Nxf1	47.63127100000006	47631.27100000006	normal
NXF1	Nxf1	31.964315900000052	31964.315900000052	normal
TMEM223	Tmem223	21.856401899999998	21856.401899999997	normal
SDC1	Sdc1	32.90417879999997	32904.178799999965	normal
SDC1	Sdc1	32.90417879999997	32904.178799999965	normal
TMEM179B	Tmem179b	23.527927700000003	23527.927700000004	normal
TAF6L	Taf6l	67.89759090000025	67897.59090000026	normal
TAF6L	Taf6l	67.89759090000025	67897.59090000026	normal
TAF6L	Taf6l	67.23487800000028	67234.87800000027	normal
TAF6L	Taf6l	65.20547930000026	65205.47930000027	normal
POLR2G	Polr2g	19.294096099999997	19294.0961	normal
POLR2G	Polr2g	7.854831700000001	7854.831700000001	normal
ABCB1B	Abcb1b	140.9920132000005	140992.0132000005	normal
PDE10A	Pde10a	90.33777780000048	90337.77780000048	normal
MRPS28	Mrps28	20.5200289	20520.0289	normal
ZBTB3	Zbtb3	55.900026200000056	55900.02620000006	normal
WDR37	Wdr37	55.04525670000016	55045.25670000016	normal
WDR37	Wdr37	55.04525670000016	55045.25670000016	normal
SSXB5	Ssxb5	18.653394500000005	18653.394500000006	normal
TTC9C	Ttc9c	19.9974016	19997.4016	normal
TTC9C	Ttc9c	12.790259999999988	12790.259999999987	normal
TTC9C	Ttc9c	19.9974016	19997.4016	normal
HNRNPUL2	Hnrnpul2	84.93924470000034	84939.24470000034	normal
1810013L24RIK	1810013L24Rik	30.93920600000003	30939.20600000003	normal
GM20815	Gm20815	25.83319390000002	25833.19390000002	normal
GNG3	Gng3	8.304685599999997	8304.685599999997	normal
BSCL2	Bscl2	49.59450030000014	49594.500300000145	normal
BSCL2	Bscl2	43.104329900000145	43104.32990000014	normal
BSCL2	Bscl2	43.104329900000145	43104.32990000014	normal
BSCL2	Bscl2	43.104329900000145	43104.32990000014	normal
GM6592	Gm6592	19.432569000000004	19432.569000000003	normal
PDE10A	Pde10a	88.51583290000045	88515.83290000045	normal
WDR37	Wdr37	19.248745	19248.745	normal
LRRN4CL	Lrrn4cl	25.93056350000001	25930.563500000007	normal
LRRN4CL	Lrrn4cl	25.93056350000001	25930.563500000007	normal
WDR37	Wdr37	19.248745	19248.745	normal
UBXN1	Ubxn1	33.57214180000003	33572.141800000034	normal
UBXN1	Ubxn1	33.57214180000003	33572.141800000034	normal
UBXN1	Ubxn1	29.929976499999988	29929.97649999999	normal
UQCC3	Uqcc3	9.583885599999991	9583.885599999992	normal
PDE10A	Pde10a	81.21870540000036	81218.70540000036	normal
LBHD1	Lbhd1	28.7086067	28708.6067	normal
IDI1	Idi1	32.476849700000045	32476.849700000043	normal
1810009A15RIK	1810009A15Rik	14.098387499999987	14098.387499999986	normal
GM49416	Gm49416	11.50768179999999	11507.68179999999	normal
B630019K06RIK	B630019K06Rik	34.857015199999985	34857.01519999999	normal
INTS5	Ints5	108.34637890000084	108346.37890000084	normal
ABCB4	Abcb4	140.37522280000064	140375.22280000063	normal
GANAB	Ganab	109.40267200000068	109402.67200000068	normal
GANAB	Ganab	106.90980370000061	106909.80370000062	normal
PGR	Pgr	98.98004030000068	98980.04030000068	normal
PGR	Pgr	98.98004030000068	98980.04030000068	normal
PGR	Pgr	81.7450842000003	81745.0842000003	normal
VMN2R40	Vmn2r40	97.80492420000063	97804.92420000063	normal
B3GAT3	B3gat3	37.06639190000001	37066.39190000002	normal
LAPTM4A	Laptm4a	35.00267289999998	35002.672899999976	normal
PDE10A	Pde10a	82.40795990000036	82407.95990000037	normal
TPD52	Tpd52	20.059165299999982	20059.165299999982	normal
ROM1	Rom1	37.264667799999984	37264.66779999998	normal
TPD52	Tpd52	21.654025299999986	21654.025299999987	normal
EML3	Eml3	95.69422250000068	95694.22250000067	normal
TPD52	Tpd52	24.312709800000004	24312.709800000004	normal
EML3	Eml3	95.60714520000066	95607.14520000065	normal
TPD52	Tpd52	26.926723000000006	26926.723000000005	normal
TPD52	Tpd52	17.602527399999982	17602.52739999998	normal
TPD52	Tpd52	21.133357199999985	21133.357199999984	normal
GM9745	Gm9745	26.66437920000002	26664.37920000002	normal
GM9745	Gm9745	26.66437920000002	26664.37920000002	normal
MTA2	Mta2	75.02920970000024	75029.20970000024	normal
MATN3	Matn3	51.8447267	51844.7267	normal
NXPH1	Nxph1	31.04788510000002	31047.88510000002	normal
NXPH1	Nxph1	31.04788510000002	31047.88510000002	normal
IDI2	Idi2	26.66437920000002	26664.37920000002	normal
TUT1	Tut1	94.60195000000056	94601.95000000055	normal
FTHL17B	Fthl17b	20.608214500000017	20608.214500000016	normal
CROT	Crot	70.26363300000028	70263.63300000028	normal
GTPBP4	Gtpbp4	74.11188290000023	74111.88290000023	normal
EEF1G	Eef1g	50.06014110000012	50060.141100000124	normal
RANBP3L	Ranbp3l	54.13897680000008	54138.97680000008	normal
WDR35	Wdr35	133.98997290000074	133989.97290000075	normal
WDR35	Wdr35	132.75070750000077	132750.70750000078	normal
FTHL17C	Fthl17c	20.594187900000012	20594.18790000001	normal
FTHL17D	Fthl17d	20.50504680000001	20505.04680000001	normal
1700010I14RIK	1700010I14Rik	61.72214340000007	61722.14340000007	normal
1700010I14RIK	1700010I14Rik	57.54699550000004	57546.995500000034	normal
1700010I14RIK	1700010I14Rik	46.40051340000002	46400.513400000025	normal
AHNAK	Ahnak	604.2457935000068	604245.7935000068	normal
AHNAK	Ahnak	16.254715799999992	16254.71579999999	normal
HUS1	Hus1	31.807760300000037	31807.760300000038	normal
ARHGAP42	Arhgap42	94.63460160000055	94634.60160000055	normal
VMN2R39	Vmn2r39	98.5427604000006	98542.7604000006	normal
SUN3	Sun3	29.543582800000028	29543.58280000003	normal
TTC32	Ttc32	16.795496999999997	16795.496999999996	normal
TTC32	Ttc32	15.624307099999982	15624.307099999982	normal
TTC32	Ttc32	13.514104599999987	13514.104599999988	normal
FTHL17E	Fthl17e	20.491020200000012	20491.020200000014	normal
GM11992	Gm11992	32.89498380000005	32894.983800000045	normal
FTHL17F	Fthl17f	20.672170500000007	20672.170500000007	normal
NADK2	Nadk2	50.85792540000008	50857.92540000008	normal
NADK2	Nadk2	44.871098700000076	44871.098700000075	normal
NADK2	Nadk2	48.33094980000009	48330.94980000009	normal
VMN2R38	Vmn2r38	98.73803650000065	98738.03650000064	normal
SCGB1A1	Scgb1a1	10.51932299999999	10519.32299999999	normal
LARP4B	Larp4b	81.62633430000037	81626.33430000037	normal
LARP4B	Larp4b	73.56246360000034	73562.46360000034	normal
LARP4B	Larp4b	72.53732090000024	72537.32090000024	normal
TMEM243	Tmem243	13.390700599999985	13390.700599999984	normal
4930402K13RIK	4930402K13Rik	48.28519570000005	48285.195700000055	normal
ASRGL1	Asrgl1	33.949570599999994	33949.57059999999	normal
SKP2	Skp2	47.7656784	47765.6784	normal
SKP2	Skp2	39.87034370000002	39870.34370000002	normal
TMEM243	Tmem243	1.7550921000000004	1755.0921000000003	normal
SKP2	Skp2	43.82240619999999	43822.40619999999	normal
UPP1	Upp1	34.08578480000002	34085.78480000002	normal
UPP1	Upp1	34.08578480000002	34085.78480000002	normal
UPP1	Upp1	34.08578480000002	34085.78480000002	normal
DMTF1	Dmtf1	84.64288520000035	84642.88520000035	normal
DMTF1	Dmtf1	77.0683134000003	77068.3134000003	normal
DMTF1	Dmtf1	75.06080190000029	75060.80190000028	normal
GM21292	Gm21292	25.85322650000002	25853.22650000002	normal
GM21292	Gm21292	25.85322650000002	25853.22650000002	normal
LMBRD2	Lmbrd2	81.1001214000004	81100.12140000041	normal
LMBRD2	Lmbrd2	75.73686600000032	75736.86600000031	normal
ARHGAP42	Arhgap42	16.018011899999983	16018.011899999985	normal
ABCA13	Abca13	568.8904415000048	568890.4415000048	normal
GM21721	Gm21721	25.804194100000018	25804.19410000002	normal
LANCL3	Lancl3	46.4739935	46473.9935	normal
GM21721	Gm21721	25.804194100000018	25804.19410000002	normal
VMN2R37	Vmn2r37	92.19159050000056	92191.59050000056	normal
FAM155A	Fam155a	52.73845470000003	52738.454700000024	normal
FAM155A	Fam155a	43.157688300000004	43157.6883	normal
FZD8	Fzd8	73.04422580000033	73044.22580000033	normal
ZBTB10	Zbtb10	94.04433120000057	94044.33120000057	normal
GM14862	Gm14862	8.964459099999996	8964.459099999996	normal
9330182L06RIK	9330182L06Rik	112.03268600000081	112032.6860000008	normal
9330182L06RIK	9330182L06Rik	113.65844440000085	113658.44440000085	normal
9330182L06RIK	9330182L06Rik	26.302209900000012	26302.209900000013	normal
CLVS1	Clvs1	40.612885400000025	40612.88540000002	normal
CLVS1	Clvs1	40.612885400000025	40612.88540000002	normal
XK	Xk	51.11402550000006	51114.02550000006	normal
DIP2C	Dip2c	170.92059629999974	170920.59629999974	normal
DIP2C	Dip2c	167.24002949999993	167240.02949999995	normal
