protein_id	gene_symbol	mol_weight_kd	mol_weight
Q04750;Q8R4U6	Top1	90.875	90875
Q04857	Col6a1	108.49	108490
Q04887	Sox9	56.076	56076
Q05020	Apoc2	10.741	10741
Q05117	Acp5	36.807	36807
Q05144	Rac2	21.441	21441
Q05186	Rcn1	38.113	38113
Q05421	Cyp2e1	56.804	56804
Q05722	Col9a1	92.091	92091
Q05793	Hspg2	398.29	398290
Q05816	Fabp5	15.137	15137
Q05860;REV__Q8C0T9	Fmn1	163.58	163580
Q05915	Gch1	27.014	27014
Q05920	Pc	129.68	129680
Q05AA6	Drp2	108.05	108050
Q05BC3	Eml1	89.679	89679
Q05CL8	Larp7	64.802	64802
Q05D44	Eif5b	137.61	137610
Q06138	Cab39	39.842	39842
Q06185;REV__Q7TPW1;REV__Q7TPM1;Q91VY5	Atp5i	8.2355	8235.5
Q06770	Serpina6	44.769	44769
Q06890	Clu	51.655	51655
Q07076	Anxa7	49.925	49925
Q07417	Acads	44.889	44889
Q07456	Ambp	39.029	39029
Q07797	Lgals3bp	64.49	64490
Q07813	Bax	21.394	21394
Q08024	Cbfb	22.03	22030
Q08091	Cnn1	33.355	33355
Q08288	Lyar	43.735	43735
Q08331	Calb2	31.372	31372
Q08501	Prlr	68.24	68240
Q08857	Cd36	52.697	52697
Q08943	Ssrp1	80.859	80859
Q09200	B4galnt1	59.211	59211
Q0GA42	Cnnm1	103.98	103980
Q0GNC1	Inf2	138.56	138560
Q0II04	Nebl	52.2	52200
Q0KK59	Unc79	290.74	290740
Q0P678	Zc3h18	105.69	105690
Q0VBL3;Q8BKT2	Rbm15;Hes7	105.72	105720
Q0VEJ0	Cep76	74.303	74303
Q0VG85	Ccdc162p	104.33	104330
Q0VGB7	Ppp4r2	46.478	46478
Q11011	Npepps	103.32	103320
Q11136	Pepd	55.028	55028
Q148V7	Kiaa1468	134.59	134590
Q148V8	Fam83h	131.11	131110
Q14AK4	Zdhhc11	39.659	39659
Q14BP6	Lrrc74b	41.701	41701
Q14C51	Ptcd3	77.795	77795
Q14C59	Tmprss11b	46.713	46713
Q14CH1	Mocos	95.012	95012
Q14CH7	Aars2	106.78	106780
Q14DH7	Acss3	74.517	74517
Q14DL3	Lrriq3	75.363	75363
Q18PI6	Cd84	37.378	37378
Q19LI2	A1bg	56.553	56553
Q1HFZ0	Nsun2	85.451	85451
Q283N4	Urad	20.016	20016
Q2NL51	Gsk3a	51.66	51660
Q2PFD7	Psd3	114.72	114720
Q2TBE6	Pi4k2a	54.257	54257
Q2TPA8	Hsdl2	54.208	54208
Q2TUM3	Kcnrg	29.416	29416
Q2VPA6	Helq	119.1	119100
Q30KP3	Defb20	11.039	11039
Q31125	Slc39a7	50.656	50656
Q32M26		20.717	20717
Q3B7Z2;Q5QNQ6	Osbp	88.796	88796
Q3KNM2	Mar-05	31.231	31231
Q3KNY0	Igfn1	303.65	303650
Q62293;Q3T9E4	Tgtp1	47.12	47120
Q3T9X0	Slc2a9	58.621	58621
Q3TAS6	Emc10	27.052	27052
Q3TB82	Plekhf1	31.157	31157
Q3TBW2	Mrpl10	29.395	29395
Q3TC33;REV__Q8C0X0;A2A870	Ccdc127;Fbf1	30.509	30509
Q3TC72	Fahd2	34.69	34690
Q3TC93	Hs1bp3	43.691	43691
Q3TCH7	Cul4a	87.752	87752
Q3TCJ1	Fam175b	46.942	46942
Q3TCN2	Plbd2	66.289	66289
Q3TDD9	Ppp1r21	88.337	88337
Q3TDN2	Faf2	52.471	52471
Q3TDQ1	Stt3b	93.245	93245
Q3TEA8	Hp1bp3	60.866	60866
Q3TFQ1	Spryd7	21.681	21681
Q3TGF2	Fam107b	15.572	15572
Q3TGW2	Eepd1	62.953	62953
Q3TH73	Ttyh2	59.007	59007
Q3THE2	Myl12b	19.779	19779
Q3THG9	Aarsd1	44.97	44970
Q3THK7	Gmps	76.723	76723
Q3THS6	Mat2a	43.688	43688
Q3TIR1	Trappc13	46.476	46476
Q3TIR3	Ric8a	59.846	59846
Q3TIU4	Pde12	67.513	67513
Q3TIV5	Zc3h15	48.327	48327
Q3TIX9	Usp39	65.146	65146
Q3TJZ6	Fam98a	55.055	55055
Q3TKT4	Smarca4	181.43	181430
Q3TL44	Nlrx1	107.83	107830
Q3TLD5	Uri1	59.083	59083
Q3TLH4;Q7TPM1	Prrc2c	310.89	310890
Q3TLP5	Echdc2	31.852	31852
Q3TMH2	Scrn3	47.661	47661
Q3TNA1	Xylb	59.543	59543
Q3TPE9	Ankmy2	48.774	48774
Q3TPX4	Exoc5	81.737	81737
Q3TQB2	Foxred1	54.177	54177
Q3TQI7		33.543	33543
Q3TQQ9		101.22	101220
Q3TRM8	Hk3	100.1	100100
Q3TRR0	Map9	73.51	73510
Q3TTP0	Shcbp1l	70.947	70947
Q3TW96	Uap1l1	56.613	56613
Q3TWW8	Srsf6	39.025	39025
Q3TXS7	Psmd1	105.73	105730
Q3TXX4	Slc17a7	61.637	61637
Q3TYS2		20.921	20921
Q3TYX3	Smyd5	47.095	47095
Q3TZ89	Sec31b	125.63	125630
Q3TZM9	Alg11	55.269	55269
Q3TZZ7	Esyt2	94.138	94138
Q3U0B3	Dhrs11	28.274	28274
Q3U0M1	Trappc9	128.23	128230
Q3U0V1	Khsrp	76.775	76775
Q3U0V2	Tradd	34.577	34577
Q3U155	Ccdc174	53.941	53941
Q3U186	Rars2	65.335	65335
Q3U1J4	Ddb1	126.85	126850
Q3U213	Serac1	73.987	73987
Q3U2A8	Vars2	118.46	118460
Q3U2I3	Fam160a2	106.54	106540
Q3U2P1	Sec24a	118.78	118780
Q3U308	Ctu2	56.104	56104
Q3U319	Rnf40	113.97	113970
Q3U3R4	Lmf1	65.877	65877
Q3U487	Hectd3	97.346	97346
Q3U4G3	Xxylt1	43.838	43838
Q3U4I7	Pyroxd2	62.939	62939
Q3U5F4	Yrdc	29.454	29454
Q3U5Q7;REV__Q9WVQ0	Cmpk2	50.036	50036
Q3U7R1	Esyt1	121.55	121550
Q3U829	Ap5z1	89.406	89406
Q3U962	Col5a2	145.02	145020
Q3U9G9	Lbr	71.439	71439
Q3U9N9	Slc16a10	55.32	55320
Q3UA37	Qrich1	86.555	86555
Q3UBG2	Pid1	24.784	24784
Q3UBX0	Tmem109	26.306	26306
Q3UBZ5	Mif4gd	25.493	25493
Q3UCV8	Otulin	40.32	40320
Q3UD01	Atxn7l3b	10.731	10731
Q3UDE2	Ttll12	74.042	74042
Q3UDW8	Hgsnat	72.503	72503
Q3UE37	Ube2z	38.368	38368
Q3UEB3	Puf60	60.248	60248
Q3UEG6	Agxt2	57.114	57114
Q3UFF7	Lyplal1	26.354	26354
Q3UFS0	Zyg11b	83.99	83990
Q9DA80;Q3UFY4	Rsph3b;Rsph3a	45.168	45168
Q3UFY8	Trmt10c	48.385	48385
Q3UGC7;Q66JS6	Eif3j1;Eif3j2	29.343	29343
Q3UGP8	Alg10b	55.464	55464
Q3UGR5	Hdhd2	28.73	28730
Q3UGS4	Fam195b	11.101	11101
Q3UHD6	Snx27	60.988	60988
Q3UHJ0	Aak1	103.35	103350
Q3UHJ8	Rnf44	45.496	45496
Q3UHN9	Ndst1	100.72	100720
Q3UHQ6	Dopey2	257.48	257480
Q3UHX2	Pdap1	20.605	20605
Q3UI43	Babam1	36.793	36793
Q3UIA2	Arhgap17	92.201	92201
Q3UIL6	Plekha7	126.74	126740
Q3UIR3	Dtx3l	83.043	83043
Q3UIU2	Ndufb6	15.515	15515
Q3UJB9	Edc4	152.48	152480
Q3UJD6	Usp19	150.55	150550
Q3UJU9	Rmdn3	52.028	52028
Q3UKC1	Tax1bp1	93.629	93629
Q3UKJ7	Smu1	57.543	57543
Q3UL36	Arglu1	32.887	32887
Q3ULD5	Mccc2	61.378	61378
Q3ULF4	Spg7	85.995	85995
Q3ULJ0	Gpd1l	38.225	38225
Q3ULW8	Parp3	59.948	59948
Q3UM18	Lsg1	73.156	73156
Q3UM29	Cog7	86.072	86072
Q3UM45	Ppp1r7	41.291	41291
Q3UMB9	Kiaa1033	136.37	136370
Q3UMC0;Q9D3R6	Spata5;Katnal2	97.255	97255
Q3UMF0	Cobll1	137.38	137380
Q3UMF9	Faxc	46.811	46811
Q3UMR0	Ankrd27	116.81	116810
Q3UMR5	Mcu	39.681	39681
Q3UMT1	Ppp1r12c	84.684	84684
Q3UMU9	Hdgfrp2	74.29	74290
Q3UMW7	Mapkapk3	43.293	43293
Q3UMY5;Q5SQM0	Eml4	110.03	110030
Q3UN02	Lclat1	44.399	44399
Q9QZV9;Q3UNA4	Nxt1;Nxt2	15.847	15847
Q3UNX5	Acsm3	65.622	65622
Q3UNZ8		37.808	37808
Q3UP75	Ugt3a1	59.698	59698
Q3UPF5	Zc3hav1	106.69	106690
Q3UPH1	Prrc1	46.297	46297
Q3UPL0	Sec31a	133.57	133570
Q3UPP8	Cep63	80.448	80448
Q3UQ44	Iqgap2	180.53	180530
Q3UQ84	Tars2	81.699	81699
Q3UQN2	Fcho2	88.733	88733
Q3URD3	Slmap	96.932	96932
Q3URE1	Acsf3	65.076	65076
Q3URS9	Ccdc51	45.132	45132
Q3USB7	Plcl1	122.67	122670
Q3USZ8		49.462	49462
Q3UTJ2	Sorbs2	132.35	132350
Q3UUG6	Tbc1d24	63.235	63235
Q3UUI3	Them4	26.031	26031
Q3UUQ7	Pgap1	104.58	104580
Q3UV17	Krt76	62.844	62844
Q3UV71	Tmtc1	105.81	105810
Q3UVG3	Fam91a1	93.462	93462
Q3UVK0	Ermp1	100.15	100150
Q3UVL4	Vps51	86.186	86186
Q3UW53	Fam129a	102.65	102650
Q3UWQ3	Ube2fb	21.352	21352
Q3UX43	Ankrd13c	60.149	60149
Q3UY96	Cfap74	178.93	178930
Q3UYC0	Ppm1h	56.379	56379
Q3UYV9	Ncbp1	91.926	91926
Q3UZ09;Q8CFG9;Q8CG16	C1rl	53.435	53435
Q3UZ39	Lrrfip1	79.248	79248
Q3UZA1	Rcsd1	44.114	44114
Q3UZP4	Svip	8.3635	8363.5
Q3UZZ6;Q80VR3;O35400	Sult1d1	35.083	35083
Q3V009	Tmed1	25.262	25262
Q3V0Q1	Dnah12	356.23	356230
Q3V1D3	Ampd1	86.104	86104
Q3V1L4	Nt5c2	64.808	64808
Q3V2Q8	N4bp2l1	28.038	28038
Q3V384	Lace1	54.313	54313
Q3V3R1	Mthfd1l	105.73	105730
Q3V3R4	Itga1	130.81	130810
Q3V4B5	Commd6	9.7951	9795.1
Q3ZRW6	Clul1	53.733	53733
Q3ZT31	Snx25	97.145	97145
Q45VN2	Defa20	10.601	10601
Q4FZC9	Syne3	112.03	112030
Q4FZF3	Ddx49	54.093	54093
Q4JK59	Tet2	212.13	212130
Q4KL35	Magix	34.771	34771
Q4KML4	Abracl	9.0303	9030.3
Q4KMM3	Oxr1	95.911	95911
Q4KWH5	Plch1	187.74	187740
Q4LDD4	Arap1	162.27	162270
Q4LDG0	Slc27a5	76.202	76202
Q4PJX1	Odr4	49.997	49997
Q4PZA2	Ece1	87.072	87072
Q4VA53	Pds5b	164.42	164420
Q4VAA2	Cdv3	29.729	29729
Q4VBD2	Tapt1	63.893	63893
Q4VBD9	Gzf1	79.532	79532
Q4VBE8	Wdr18	47.211	47211
Q4VC33	Maea	45.336	45336
Q4ZJM7	Otol1	49.6	49600
Q501J6	Ddx17	72.399	72399
Q501J7	Phactr4	76.631	76631
Q505B7	Zbtb8os	19.727	19727
Q505D1	Ankrd28	112.9	112900
Q505D7	Opa3	20.11	20110
Q505F5	Lrrc47	63.589	63589
Q52KI8	Srrm1	106.86	106860
Q566J8	Adck4	59.231	59231
Q569Z5	Ddx46	117.45	117450
Q569Z6	Thrap3	108.18	108180
Q570Y9	Deptor	46.119	46119
Q571E4	Galns	57.673	57673
Q571F8	Gls2	66.365	66365
Q571I9	Aldh16a1	84.755	84755
Q58A65	Spag9	146.22	146220
Q59J78	Ndufaf2	19.628	19628
Q5BL07	Pex1	141.43	141430
Q5BLK4	Zcchc6	169.1	169100
Q5DRQ8	Fcrlb	47.501	47501
Q5DTM8	Rnf20	113.52	113520
Q5DTT2	Psd	109.69	109690
Q5EBG8		21.862	21862
Q5EBJ4	Ermn	32.148	32148
Q5EG47	Prkaa1	63.928	63928
Q5F285	Tmem256	11.655	11655
Q5F293	Zbtb4	102.66	102660
Q5F2E7	Nufip2	75.656	75656
Q5F2F2	Abhd15	51.151	51151
Q5FW57	Gm4952	34.168	34168
Q5FW60	Mup20	20.93	20930
Q5FWK3	Arhgap1	50.41	50410
Q5H8C4	Vps13a	359.4	359400
Q5HZI1	Mtus1	134.38	134380
Q5HZI9	Slc25a51	33.689	33689
Q5HZJ0	Drosha	158.83	158830
Q5I012	Slc38a10	117.19	117190
Q5IRJ6	Slc30a9	62.875	62875
Q5M8N0	Cnrip1	18.612	18612
Q5M8N4	Sdr39u1	31.458	31458
Q5ND29	Rilp	41.139	41139
Q5ND34	Wdr81	211.94	211940
Q5PSV9	Mdc1	184.67	184670
Q5PT54	Slc10a5	48.122	48122
Q5QGU6	Rtp3	52.22	52220
Q5RKZ7	Mocs1	69.858	69858
Q5RL79	Krtcap2	14.674	14674
Q5S248	Tmprss11e	48.064	48064
Q5SGK3	Aox2	147.91	147910
Q5SQX6	Cyfip2	145.66	145660
Q5SRX1	Tom1l2	55.662	55662
Q5SRY7	Fbxw11	62.062	62062
Q5SS00	Zdbf2	273.74	273740
Q5SS80	Dhrs13	40.744	40744
Q5SSH7	Zzef1	328.31	328310
Q5SSK3	Tefm	41.873	41873
Q5SSW2	Psme4	211.19	211190
Q5SSZ5	Tns3	155.59	155590
Q5SUC9	Sco1	31.617	31617
Q5SUF2	Luc7l3	51.45	51450
Q5SUR0	Pfas	144.63	144630
Q5SVR0	Tbc1d9b	141.78	141780
Q5SW19	Cluh	148.07	148070
Q5SWU9	Acaca	265.25	265250
Q5SX79	Shroom1	89.95	89950
Q5SYD0	Myo1d	116.08	116080
Q5U430	Ubr3	212.75	212750
Q5U458	Dnajc11	63.232	63232
Q5U4D9	Thoc6	37.314	37314
Q5U5V2	Hykk	42.356	42356
Q5UBV8	Tnfsf15	27.723	27723
Q5XG73	Acbd5	56.613	56613
Q5XJE5	Leo1	75.596	75596
Q5XJY4	Parl	41.963	41963
Q5XJY5	Arcn1	57.229	57229
Q5XJY6	Fancb	80.088	80088
Q5XKE0	Mybpc2	127.35	127350
Q5XKN4	Jagn1	21.102	21102
Q5YD48;P86049	A1cf	65.681	65681
Q60575	Kif1b	204.08	204080
Q60590	Orm1	23.895	23895
Q60592;Q8C0P0;Q3U214	Mast2;Mastl;Mast3	190.53	190530
Q60596	Xrcc1	68.97	68970
Q60597	Ogdh	116.45	116450
Q60598	Cttn	61.249	61249
Q60605;Q8CI43	Myl6	16.93	16930
Q60631	Grb2	25.238	25238
Q60634	Flot2	47.037	47037
Q60648	Gm2a	20.824	20824
Q60649	Clpb	76.003	76003
Q60664	Lrmp	59.587	59587
Q60668	Hnrnpd	38.354	38354
Q60674	Nr1d2	64.301	64301
Q60676	Ppp5c	56.876	56876
Q60680;O88351	Chuk;Ikbkb	84.728	84728
Q60692	Psmb6	25.378	25378
Q60710	Samhd1	75.892	75892
Q60714	Slc27a1	71.275	71275
Q60715	P4ha1	60.909	60909
Q60737	Csnk2a1	45.133	45133
Q60738	Slc30a1	54.716	54716
Q60739	Bag1	39.74	39740
Q60749	Khdrbs1	48.37	48370
Q60759;REV__Q9D2X8	Gcdh	48.605	48605
Q60766	Irgm1	46.551	46551
Q60770	Stxbp3	67.942	67942
Q60771	Cldn11	22.114	22114
Q60772	Cdkn2c	18.066	18066
Q60787	Lcp2	60.238	60238
Q60805;Q00993	Mertk;Axl	110.16	110160
Q60809	Cnot7	32.718	32718
Q60823;Q9WUA6	Akt2	55.741	55741
Q60854	Serpinb6	42.598	42598
Q60855	Ripk1	74.854	74854
Q60864	Stip1	62.581	62581
Q60865	Caprin1	78.168	78168
Q60866	Pter	39.218	39218
Q60870	Reep5	21.05	21050
Q60872	Eif1a	16.502	16502
Q60902	Eps15l1	99.307	99307
Q60930	Vdac2	31.732	31732
Q60931	Vdac3	30.752	30752
Q60932	Vdac1	32.351	32351
Q60936	Adck3	71.742	71742
Q60953	Pml	98.241	98241
Q60960	Kpna1	60.182	60182
Q60961	Laptm4a	26.857	26857
Q60967	Papss1	70.793	70793
Q60972	Rbbp4	47.655	47655
Q60973	Rbbp7	47.789	47789
Q60989	Xiap	56.078	56078
Q60991	Cyp7b1	58.47	58470
Q60992	Vav2	99.914	99914
Q60994	Adipoq	26.809	26809
Q60996	Ppp2r5c	60.824	60824
Q61009	Scarb1	56.753	56753
Q61011	Gnb3	37.24	37240
Q61016	Gng7	7.4796	7479.6
Q61017	Gngt2	7.8019	7801.9
Q61024	Asns	64.282	64282
Q61025	Ift20	15.236	15236
Q61029	Tmpo	50.372	50372
Q61033	Tmpo	75.167	75167
Q61035	Hars	57.432	57432
Q61038	Gpr65	39.388	39388
Q61056	Trpc1	91.212	91212
Q61070	Ei24	38.932	38932
Q61072	Adam9	92.079	92079
Q61074	Ppm1g	58.727	58727
Q61081	Cdc37	44.593	44593
Q61093	Cybb	65.304	65304
Q61102	Abcb7	82.58	82580
Q61107;REV__Q9DAR1;REV__Q67E05;Q9Z1P7;Q80U12	Gbp4	70.801	70801
Q61112	Sdf4	42.064	42064
Q61129	Cfi	67.26	67260
Q61133	Gstt2	27.634	27634
Q61136	Prpf4b	116.97	116970
Q61142	Spin1	29.642	29642
Q61144;P49769	Psen2;Psen1	49.983	49983
Q61147;CON__ENSEMBL:ENSBTAP00000031900;Q9Z0Z4;Q3V1H3	Cp	121.15	121150
Q61151;Q6PD28	Ppp2r5e	54.713	54713
Q61160	Fadd	22.96	22960
Q61164	Ctcf	83.745	83745
Q61166	Mapre1	30.016	30016
Q61171	Prdx2	21.778	21778
Q61176	Arg1	34.807	34807
Q61187	Tsg101	44.123	44123
Q61189	Clns1a	26.021	26021
Q61191	Hcfc1	210.43	210430
Q61194	Pik3c2a	190.76	190760
Q61205	Pafah1b3	25.853	25853
Q61206	Pafah1b2	25.581	25581
Q61207	Psap	61.422	61422
Q61210	Arhgef1	102.8	102800
Q61211	Eif2d	62.829	62829
Q61233	Lcp1	70.148	70148
Q61234	Snta1	53.664	53664
Q61235	Sntb2	56.381	56381
Q61239	Fnta	44.013	44013
Q61247	Serpinf2	54.971	54971
Q61249;Q9QZ29	Igbp1	38.97	38970
Q61268	Apoc4	14.288	14288
Q61285	Abcd2	83.482	83482
Q61292	Lamb2	196.58	196580
Q61301	Ctnna2	105.28	105280
Q61316	Hspa4	94.132	94132
Q61327	Slc6a3	68.805	68805
Q61330	Cntn2	113.22	113220
Q61334	Bcap29	27.964	27964
Q61335	Bcap31	27.956	27956
Q61361	Bcan	95.814	95814
Q61387	Cox7a2l	12.399	12399
Q61409;Q9Z0X4	Pde3b	122.15	122150
Q61410	Prkg2	87.084	87084
Q61411	Hras	21.298	21298
Q61419	Cmah	66.935	66935
Q61420	Slc35a1	36.453	36453
Q61425	Hadh	34.463	34463
Q61464	Znf638	218.13	218130
Q61468	Msln	69.422	69422
Q61469	Ppap2a	31.891	31891
Q61490	Alcam	65.091	65091
Q7TSF0;Q61495;Q7TSF1	Dsg1c;Dsg1a;Dsg1b	100.51	100510
Q61503	Nt5e	63.864	63864
Q61508	Ecm1	62.832	62832
Q61510	Trim25	71.726	71726
Q61543	Glg1	133.73	133730
Q61545	Ewsr1	68.461	68461
Q61548	Snap91	91.85	91850
Q61550	Rad21	72.082	72082
Q61553	Fscn1	54.507	54507
Q61554;Q61555	Fbn1	312.3	312300
Q61559	Fcgrt	40.092	40092
Q61578	Fdxr	54.201	54201
Q61581	Igfbp7	28.969	28969
Q61584	Fxr1	76.221	76221
Q61586	Gpam	93.703	93703
Q61592	Gas6	74.609	74609
Q61595	Ktn1	152.59	152590
Q61598	Gdi2	50.537	50537
Q61599	Arhgdib	22.851	22851
Q61625	Grid2	113.08	113080
Q61644	Pacsin1	50.575	50575
Q61646	Hp	38.752	38752
Q61655;Q9QY15;Q99MR1	Ddx19a	53.932	53932
Q61656	Ddx5	69.289	69289
Q61686	Cbx5	22.186	22186
Q61687	Atrx	278.58	278580
Q61694	Hsd3b5	41.892	41892
Q61699	Hsph1	96.406	96406
Q61702;CON__Q0VCM5	Itih1	101.07	101070
Q61703;CON__Q9TRI1	Itih2	105.93	105930
Q61704;CON__Q0V8M9	Itih3	99.357	99357
Q61712	Dnajc1	63.869	63869
Q61733	Mrps31	43.88	43880
Q61735	Cd47	33.097	33097
Q61749	Eif2b4	57.624	57624
Q61753	Phgdh	56.585	56585
Q61768	Kif5b	109.55	109550
Q61781	Krt14	52.866	52866
Q61789	Lama3	366.22	366220
Q61792	Lasp1	29.994	29994
Q61823	Pdcd4	51.702	51702
Q61830	Mrc1	164.98	164980
Q61838	A2m	165.85	165850
Q61879	Myh10	228.99	228990
Q61884	Mns1	60.235	60235
Q61885	Mog	28.271	28271
Q61907	Pemt	22.579	22579
Q61937	Npm1	32.56	32560
Q61967	Zfp90	72.422	72422
Q61990	Pcbp2	38.221	38221
Q62000	Ogn	34.012	34012
Q62009;CON__Q2KJC7	Postn	93.142	93142
Q62018	Ctr9	133.41	133410
Q62048	Pea15	15.054	15054
Q62059	Vcan	366.78	366780
Q62077	Plcg1	149.67	149670
Q62086	Pon2	39.617	39617
Q62087	Pon3	39.351	39351
Q62092	Nsg1	20.929	20929
Q62093	Srsf2	25.476	25476
Q62095	Ddx3y	73.427	73427
Q62148	Aldh1a2	56.625	56625
Q62159	Rhoc	22.006	22006
Q62165	Dag1	96.904	96904
Q62167;P16381;Q61496	Ddx3x;D1Pas1	73.101	73101
Q62172	Ralbp1	75.042	75042
Q62186	Ssr4	18.936	18936
Q62188	Dpysl3	61.936	61936
Q62189	Snrpa	31.835	31835
Q62192	Cd180	74.302	74302
Q62203	Sf3a2	49.911	49911
Q62217	Sema5a	120.83	120830
Q62240;P41230	Kdm5d;Kdm5c	177.02	177020
Q62241	Snrpc	17.364	17364
Q62255	Sall3	138.76	138760
Q62261	Sptbn1	274.22	274220
Q62264	Thrsp	17.093	17093
Q62277	Syp	34.024	34024
Q62283	Tspan7	27.544	27544
Q62313;Q62314	Tgoln1;Tgoln2	37.848	37848
Q62318	Trim28	88.846	88846
Q62348	Tsn	26.201	26201
Q62351	Tfrc	85.73	85730
Q62376	Snrnp70	51.991	51991
Q62384	Zpr1	50.714	50714
Q62392	Phlda1	45.582	45582
Q62393	Tpd52	24.313	24313
Q62417	Sorbs1	143.07	143070
Q62418	Dbnl	48.699	48699
Q62419	Sh3gl1	41.518	41518
Q62420	Sh3gl2	39.955	39955
Q62422	Ostf1	23.782	23782
Q62425	Ndufa4	9.3267	9326.7
Q62426	Cstb	11.045	11045
Q62432;Q8BUN5;Q9JIW5	Smad2;Smad3;Smad9	52.265	52265
Q62433	Ndrg1	43.008	43008
Q62442	Vamp1	12.89	12890
Q62446	Fkbp3	25.147	25147
Q62448	Eif4g2	102.1	102100
Q62452;Q6ZQM8	Ugt1a9	60.007	60007
Q62465	Vat1	43.096	43096
Q62523	Zyx	60.545	60545
Q63810	Ppp3r1	19.3	19300
Q63829	Commd3	22.037	22037
Q63836	Selenbp2	52.609	52609
Q63844	Mapk3	43.066	43066
Q63850	Nup62	53.254	53254
Q63880	Ces3a	63.317	63317
Q63886	Ugt1a1	60.047	60047
Q63912	Omg	49.283	49283
Q63918	Sdpr	46.763	46763
Q63932	Map2k2	44.402	44402
Q63959	Kcnc3	82.142	82142
Q63994	Cd33	44.824	44824
Q64010	Crk	33.814	33814
Q64012	Raly	33.188	33188
Q640L5	Ccdc18	169.74	169740
Q640N3	Arhgap30	120.11	120110
Q640P2	Angptl1	56.322	56322
Q640P4	Glt8d2	39.933	39933
Q640Q5	Pan3	89.744	89744
Q640R3	Hepacam	46.366	46366
Q64105	Spr	27.883	27883
Q64133	Maoa	59.601	59601
Q64152	Btf3	22.031	22031
Q64176	Ces1e	61.581	61581
Q64191	Aga	37.022	37022
Q64213	Sf1	70.402	70402
Q64261	Cdk6	37.028	37028
Q64282	Ifit1	53.737	53737
Q64310	Surf4	30.381	30381
Q64324	Stxbp2	66.357	66357
Q64331	Myo6	146.41	146410
Q64332	Syn2	63.372	63372
Q64337	Sqstm1	48.162	48162
Q64339	Isg15	17.897	17897
Q64345	Ifit3	47.222	47222
Q64373	Bcl2l1	26.132	26132
Q64374	Rgn	33.406	33406
Q64378	Fkbp5	50.966	50966
Q64433	Hspe1	10.963	10963
Q64435	Ugt1a6	60.438	60438
Q64438	Ang2	16.593	16593
Q64442	Sord	38.249	38249
Q64455	Ptprj	136.77	136770
Q64458;Q6PB75	Cyp2c29	55.715	55715
Q64459	Cyp3a11	57.854	57854
Q64462	Cyp4b1	58.9	58900
Q64464	Cyp3a13	57.492	57492
Q64471	Gstt1	27.374	27374
Q64475	Hist1h2bb	13.952	13952
Q64481	Cyp3a16	57.869	57869
Q64505	Cyp7a1	57.262	57262
Q64511	Top2b	181.91	181910
Q64514	Tpp2	139.88	139880
Q64516;Q9WU65	Gk	61.227	61227
Q64518	Atp2a3	113.64	113640
Q64520	Guk1	21.918	21918
Q64521	Gpd2	80.953	80953
Q64522	Hist2h2ab	14.013	14013
Q64524	Hist2h2be	13.993	13993
Q64669	Nqo1	30.959	30959
Q64674	Srm	33.995	33995
Q64685	St6gal1	46.585	46585
Q64726	Azgp1	35.332	35332
Q64727	Vcl	116.72	116720
Q64735	Cr1l	53.762	53762
Q64737	Gart	107.5	107500
Q64FW2	Retsat	67.334	67334
Q65Z40	Wapal	134.07	134070
Q66GT5	Ptpmt1	21.942	21942
Q66JQ7	Casc5	179.33	179330
Q66JW3;Q80W03;Q8BU11	Tox;Tox3;Tox4	57.202	57202
Q66JZ4	TCAIM	57.401	57401
Q7TNB8;Q689Z5	Sbno2;Sbno1	149.29	149290
Q68FD5	Cltc	191.55	191550
Q68FE8	Znf280d	107.83	107830
Q68FE9	Tshz2	114.22	114220
Q68FF7	Slain1	61.307	61307
Q68FF9	Srd5a1	29.344	29344
Q68FH0	Pkp4	131.55	131550
Q68FH4	Galk2	50.503	50503
Q68FL4	Ahcyl2	66.899	66899
Q68FL6	Mars	101.43	101430
Q69Z23	Dnah17	511.6	511600
Q69Z37	Samd9l	180.2	180200
Q69ZB0	Lrrcc1	119.17	119170
Q69ZC8	Gpalpp1	38.954	38954
Q69ZK0	Prex1	184.93	184930
Q69ZK6	Jmjd1c	260.64	260640
Q69ZN6	Gnptab	140.98	140980
Q69ZP3	Pnkd	43.016	43016
Q69ZR2	Hectd1	290.08	290080
Q69ZR9	Fam208a	181.39	181390
Q69ZS7	Hbs1l	75.1	75100
Q69ZT9	Tbc1d30	84.892	84892
Q69ZU6	Thsd7a	183.53	183530
Q69ZX8	Ablim3	77.63	77630
Q6A009	Ltn1	198.92	198920
Q6A026	Pds5a	150.33	150330
Q6A028	Swap70	68.995	68995
Q6A051	Atrnl1	152.47	152470
Q6A065;Q80U49	Cep170;Cep170b	175.05	175050
Q6A068	Cdc5l	92.188	92188
Q6A070	Fam179b	194.91	194910
Q6A078	Cep290	289.07	289070
Q6A0A2	Larp4b	81.626	81626
Q6A0A9;Q8C3F2	FAM120A	121.64	121640
Q6A4J8	Usp7	128.47	128470
Q6AW69	Cgnl1	148.23	148230
Q6DFV3	Arhgap21	215.74	215740
Q6DFW4	Nop58	60.342	60342
Q6DIA7		64.42	64420
Q6DIC0	Smarca2	180.25	180250
Q6DID7	Wls	62.188	62188
Q6DYE8	Enpp3	98.661	98661
Q6EDY6	Lrrc16a	151.86	151860
Q6GQS1;Q8BVN7	Slc25a23	52.496	52496
